Designatie;d;D;B;C [N];C0 [N];Cu [N];Limiting speed;Reference speed;e;Y1;Y2;Y0
249/800-B-K30-MB;800;1060;258;7700;20300;1360000;480;133;0,23;2,98;4,44;2,92
249/800-B-MB;800;1060;258;7700;20300;1360000;480;133;0,23;2,98;4,44;2,92
230/800-K-MB;800;1150;258;9300;21200;1420000;530;280;0,22;3,07;4,57;3
230/800-MB;800;1150;258;9300;21200;1420000;530;280;0,22;3,07;4,57;3
240/800-B-K30-MB;800;1150;345;11600;28500;1790000;420;188;0,29;2,33;3,47;2,28
240/800-B-MB;800;1150;345;11600;28500;1790000;420;188;0,29;2,33;3,47;2,28
231/800-K-MB;800;1280;375;14900;33500;1660000;415;175;0,29;2,32;3,45;2,26
231/800-MB;800;1280;375;14900;33500;1660000;415;175;0,29;2,32;3,45;2,26
241/800-B-K30-MB;800;1280;475;18700;43500;2430000;345;96;0,36;1,86;2,77;1,82
241/800-B-MB;800;1280;475;18700;43500;2430000;345;96;0,36;1,86;2,77;1,82
232/800-K-MB;800;1420;488;20000;41500;1540000;365;130;0,36;1,87;2,79;1,83
232/800-MB;800;1420;488;20000;41500;1540000;365;130;0,36;1,87;2,79;1,83
238/850-K-MB;850;1030;136;3500;10600;710000;620;285;0,11;6,06;9,02;5,92
238/850-MB;850;1030;136;3500;10600;710000;620;285;0,11;6,06;9,02;5,92
248/850-MB;850;1030;180;4850;14900;880000;510;135;0,15;4,4;6,56;4,31
239/850-K-MB;850;1120;200;6300;16400;960000;550;275;0,16;4,11;6,12;4,02
239/850-MB;850;1120;200;6300;16400;960000;550;275;0,16;4,11;6,12;4,02
249/850-B-K30-MB;850;1120;272;8400;22500;1370000;445;123;0,23;2,98;4,44;2,92
249/850-B-MB;850;1120;272;8400;22500;1370000;445;123;0,23;2,98;4,44;2,92
230/850-B-K-MB;850;1220;272;10300;23800;1540000;490;255;0,21;3,24;4,82;3,16
230/850-B-MB;850;1220;272;10300;23800;1540000;490;255;0,21;3,24;4,82;3,16
240/850-B-K30-MB;850;1220;365;12800;32000;2060000;390;173;0,29;2,33;3,47;2,28
240/850-B-MB;850;1220;365;12800;32000;2060000;390;173;0,29;2,33;3,47;2,28
231/850-B-K-MB;850;1360;400;16100;36000;2290000;385;164;0,29;2,35;3,5;2,3
231/850-B-MB;850;1360;400;16100;36000;2290000;385;164;0,29;2,35;3,5;2,3
241/850-B-K30-MB;850;1360;500;21200;48500;3050000;330;88;0,36;1,89;2,81;1,84
241/850-B-MB;850;1360;500;21200;48500;3050000;330;88;0,36;1,89;2,81;1,84
238/900-B-K-MB;900;1090;140;3750;11600;760000;590;260;0,11;6,06;9,02;5,92
238/900-B-MB;900;1090;140;3750;11600;760000;590;260;0,11;6,06;9,02;5,92
248/900-B-MB;900;1090;190;5200;16700;960000;465;124;0,15;4,4;6,56;4,31
239/900-K-MB;900;1180;206;6500;17200;1010000;520;260;0,16;4,28;6,37;4,19
239/900-MB;900;1180;206;6500;17200;1010000;520;260;0,16;4,28;6,37;4,19
230/900-B-K-MB;900;1280;280;11100;26500;1620000;455;235;0,22;3,14;4,67;3,07
230/900-B-MB;900;1280;280;11100;26500;1620000;455;235;0,22;3,14;4,67;3,07
240/900-B-K30-MB;900;1280;375;14200;36500;2220000;365;155;0,28;2,45;3,64;2,39
