Designatie;d;D;B;C [N];C0 [N];Cu [N];Limiting speed;Reference speed
NUP2244-EX-TB-M1;220;400;108;1630000;2370000;250000;2440;1000
NUP2344-EX-TB-M1;220;460;145;2350000;3350000;345000;2110;830
NJ248-E-TB-M1;240;440;72;1140000;1610000;171000;2320;1220
NJ248-E-TB-M1;240;440;72;1140000;1610000;171000;2320;1220
NJ348-E-TB-M1;240;500;95;1720000;2280000;234000;1980;1000
NJ348-E-TB-M1;240;500;95;1720000;2280000;234000;1980;1000
NJ252-E-TB-M1;260;480;80;1350000;1890000;192000;2100;1110
NJ252-E-TB-M1;260;480;80;1350000;1890000;192000;2100;1110
NJ356-E-TB-M1;280;580;108;2180000;3050000;290000;1700;790
NJ356-E-TB-M1;280;580;108;2180000;3050000;290000;1700;790
